Fund Number, Fund Name, Offer Number, Transitioning Kiwi Saver Scheme Number, Transitioning Scheme Name, Quarterly / Annual Indicator, Period to which disclosure statement relates, Offer Version Number, Scheme Number, Scheme Name, Fund Description, Value of fund as at last quarter, Currency of fund, Number of members in the fund, Date the fund started, Market index description, Market index past year return (%), Past year return(%) net charges and tax, Past year return (%) net of charges gross of tax, Market index return since fund started (%), Return since fund started (%) net, Annual Return Year 1, Annual Return Year 2, Annual Return Year 3, Annual Return Year 4, Annual Return Year 5, Annual Return Year 6, Annual Return Year 7, Annual Return Year 8, Annual Return Year 9, Annual Return Year 10, Market Index Annual Return %1, Market Index Annual Return %2, Market Index Annual Return %3, Market Index Annual Return %4, Market Index Annual Return %5, Market Index Annual Return %6, Market Index Annual Return %7, Market Index Annual Return %8, Market Index Annual Return %9, Market Index Annual Return %10, Annual Return % 1, Annual Return % 2, Annual Return % 3, Annual Return % 4, Annual Return % 5, Annual Return % 6, Annual Return % 7, Annual Return % 8, Annual Return % 9, Annual Return % 10, Total Annual Fund Fees, Manager's basic fee, Total performance-based fees (%), Other management and administration charges, Total amount of other charges, Currency of Total amount of other charges, Actual investment mix: Cash and cash equivalents, Actual investment mix: New Zealand fixed interest, Actual investment mix: International fixed interest, Actual investment mix: Australasian equities, Actual investment mix: International equities, Actual investment mix: Listed Properties, Actual investment mix: Unlisted Properties, Actual investment mix: Unknown, Actual investment mix: Other, Actual investment mix: Commodities, Target investment mix: Cash and cash equivalents, Target investment mix: New Zealand fixed interest, Target investment mix: International fixed interest, Target investment mix: Australasian equities, Target investment mix: International equities, Target investment mix: Listed Properties, Target investment mix: Unlisted Properties, Target investment mix: Other, Target investment mix: Commodities, Total value of 10 highest value assets as a percentage of fund net assets, Top 10 Investments 1: Name, Top 10 Investments 2: Name, Top 10 Investments 3: Name, Top 10 Investments 4: Name, Top 10 Investments 5: Name, Top 10 Investments 6: Name, Top 10 Investments 7: Name, Top 10 Investments 8: Name, Top 10 Investments 9: Name, Top 10 Investments 10: Name, Top 10 Investments 1: Percentage of fund net assets, Top 10 Investments 2: Percentage of fund net assets, Top 10 Investments 3: Percentage of fund net assets, Top 10 Investments 4: Percentage of fund net assets, Top 10 Investments 5: Percentage of fund net assets, Top 10 Investments 6: Percentage of fund net assets, Top 10 Investments 7: Percentage of fund net assets, Top 10 Investments 8: Percentage of fund net assets, Top 10 Investments 9: Percentage of fund net assets, Top 10 Investments 10: Percentage of fund net assets, Top 10 Investments 1: Type, Top 10 Investments 2: Type, Top 10 Investments 3: Type, Top 10 Investments 4: Type, Top 10 Investments 5: Type, Top 10 Investments 6: Type, Top 10 Investments 7: Type, Top 10 Investments 8: Type, Top 10 Investments 9: Type, Top 10 Investments 10: Type, Top 10 Investments 1: Country, Top 10 Investments 2: Country, Top 10 Investments 3: Country, Top 10 Investments 4: Country, Top 10 Investments 5: Country, Top 10 Investments 6: Country, Top 10 Investments 7: Country, Top 10 Investments 8: Country, Top 10 Investments 9: Country, Top 10 Investments 10: Country, Top 10 investments 1: Credit rating (if applicable), Top 10 investments 2: Credit rating (if applicable), Top 10 investments 3: Credit rating (if applicable), Top 10 investments 4: Credit rating (if applicable), Top 10 investments 5: Credit rating (if applicable), Top 10 investments 6: Credit rating (if applicable), Top 10 investments 7: Credit rating (if applicable), Top 10 investments 8: Credit rating (if applicable), Top 10 investments 9: Credit rating (if applicable), Top 10 investments 10: Credit rating (if applicable), Key Personnel 1: name, Key Personnel 2: name, Key Personnel 3: name, Key Personnel 4: name, Key Personnel 5: name, Key Personnel 1: Current Position, Key Personnel 2: Current Position, Key Personnel 3: Current Position, Key Personnel 4: Current Position, Key Personnel 5: Current Position, Key Personnel 1: Time in Current Position - years, Key Personnel 1: Time in Current Position - months, Key personnel 2: Time in Current Position - years, Key Personnel 2: Time in Current Position - months, Key Personnel 3: Time in Current Position - years, Key Personnel 3: Time in Current Position - months, Key Personnel 4: Time in Current Position - years, Key Personnel 4: Time in Current Position - months, Key Personnel 5: Time in Current Position - years, Key Personnel 5: Time in Current Position - months, Key Personnel 1: Previous or Other Position, Key Personnel 2: Previous or Other Position, Key Personnel 3: Previous or Other Position, Key Personnel 4: Previous or Other Position, Key Personnel 5: Previous or Other Position, Key Personnel 1: Time in Previous Position - years, Key Personnel 1: Time in Previous Position - months, Key Personnel 2: Time in Previous Position - years, Key Personnel 2: Time in Previous Position - months, Key Personnel 3: Time in Previous Position - years, Key Personnel 3: Time in Previous Position - months, Key Personnel 4: Time in Previous Position - years, Key Personnel 4: Time in Previous Position - months, Key Personnel 5: Time in Previous Position - years, Key Personnel 5: Time in Previous Position - months
FND2481,"SUPERLIFE INCOME",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","Invests in income assets. Designed for investors that want an investment in New Zealand and international fixed interest. Negative returns may occur once in every 7-10 years on average.",108834936.00,NZD,15752,2013-09-15,"weighted average annual return of the market indices used to measure the performance of the assets that the fund invests in",2.20,1.54,2.04,5.29,3.73,2015,2016,2017,2018,,,,,,,9.63,4.95,3.36,3.73,,,,,,,6.73,2.60,2.67,2.91,,,,,,,0.55,0.35,0.00,0.20,30.00,NZD,4.3100,32.5400,63.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,34,65,0,0,0,0,0,0,44.7800,"VANGUARD INTERNATIONAL CREDIT SECURITIES INDEX FUND HEDGED","NEW ZEALAND GOVERNMENT 15/05/21 6.0% GB","ASB CURRENT ACCOUNT","GOVERNMENT OF FRANCE 16/01/19 0.00% GB","FONTERRA COOPERATIVE GROUP LTD 25/02/22 5.90% CB","INSURANCE AUSTRALIA GROUP LTD 15/06/43 5.15% CB","GOVERNMENT OF JAPAN 12/02/19 0.00% GB","BANK OF NEW ZEALAND 15/06/23 4.102% CB","GOVERNMENT OF JAPAN 22/10/18 0.00% GB","ASB BANK LTD 26/05/21 4.245% CB",31.6300,2.7500,1.8700,1.6100,1.3100,1.3000,1.1500,1.1400,1.0200,1.0000,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,AU,NZ,NZ,FR,NZ,AU,JP,NZ,JP,NZ,,AA+,AA-,AA,A-,BBB,A+,AA-,A+,AA-,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2488,"US 500 ETF FUND",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","The US 500 ETF Fund invests in the Smartshares Exchange Traded Funds' US 500 Fund.",6537878.00,NZD,645,2015-09-21,"S&P 500 Index (converted to the New Zealand dollar)",28.84,26.51,26.60,14.93,11.46,2017,2018,,,,,,,,,15.25,10.72,,,,,,,,,11.50,7.36,,,,,,,,,0.52,0.35,0.00,0.17,30.00,NZD,0.2300,0.0000,0.0000,0.0000,99.7700,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,99,0,0,0,0,100.2300,"VANGUARD S&P 500 ETF","WESTPAC CURRENT ACCOUNT",,,,,,,,,100.0000,0.2300,,,,,,,,,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,,,,,,,,,US,NZ,,,,,,,,,,AA-,,,,,,,,,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2489,"US LARGE GROWTH ETF FUND",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","The US Large Growth ETF Fund invests in the Smartshares Exchange Traded Funds' US Large Growth Fund.",3224484.00,NZD,425,2015-09-21,"CRSP US Large Cap Growth Index (converted to the New Zealand dollar)",34.27,32.45,32.43,15.73,12.07,2017,2018,,,,,,,,,13.98,14.83,,,,,,,,,10.40,10.61,,,,,,,,,0.54,0.35,0.00,0.19,30.00,NZD,0.0300,0.0000,0.0000,0.0000,99.9700,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,99,0,0,0,0,100.0300,"VANGUARD GROWTH ETF","WESTPAC CURRENT ACCOUNT",,,,,,,,,100.0000,0.0300,,,,,,,,,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,,,,,,,,,US,NZ,,,,,,,,,,AA-,,,,,,,,,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2490,"US LARGE VALUE ETF FUND",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","The US Large Value ETF Fund invests in the Smartshares Exchange Traded Funds' US Large Value Fund.",1034501.00,NZD,172,2015-09-21,"CRSP US Large Cap Value Index (converted to the New Zealand dollar)",23.98,22.42,22.78,13.84,11.27,2017,2018,,,,,,,,,16.97,7.51,,,,,,,,,13.19,4.59,,,,,,,,,0.54,0.35,0.00,0.19,30.00,NZD,0.2800,0.0000,0.0000,0.0000,99.7200,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,99,0,0,0,0,99.7200,"VANGUARD VALUE ETF","WESTPAC CURRENT ACCOUNT",,,,,,,,,99.4400,0.2800,,,,,,,,,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,,,,,,,,,US,NZ,,,,,,,,,,AA-,,,,,,,,,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2491,"US MID CAP ETF FUND",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","The US Mid Cap ETF Fund invests in the Smartshares Exchange Traded Funds' US Mid Cap Fund.",1089303.00,NZD,210,2015-09-21,"CRSP US Mid Cap Index (converted to the New Zealand dollar)",23.76,22.24,22.22,10.87,7.56,2017,2018,,,,,,,,,15.18,9.33,,,,,,,,,11.58,5.72,,,,,,,,,0.54,0.35,0.00,0.19,30.00,NZD,0.0100,0.0000,0.0000,0.0000,99.9900,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,99,0,0,0,0,100.0100,"VANGUARD MID-CAP ETF","WESTPAC CURRENT ACCOUNT",,,,,,,,,100.0000,0.0100,,,,,,,,,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,,,,,,,,,US,NZ,,,,,,,,,,AA-,,,,,,,,,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2492,"US SMALL ETF FUND",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","The US Small Cap ETF Fund invests in the Smartshares Exchange Traded Funds' US Small Cap Fund.",1417015.00,NZD,273,2015-09-21,"CRSP US Small Cap Index (converted to the New Zealand dollar)",26.78,25.53,25.51,12.76,9.49,2017,2018,,,,,,,,,19.59,9.03,,,,,,,,,15.35,6.32,,,,,,,,,0.54,0.35,0.00,0.19,30.00,NZD,0.0200,0.0000,0.0000,0.0000,99.9800,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,99,0,0,0,0,100.0100,"VANGUARD SMALL-CAP ETF","WESTPAC CURRENT ACCOUNT",,,,,,,,,99.9900,0.0200,,,,,,,,,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,,,,,,,,,US,NZ,,,,,,,,,,AA-,,,,,,,,,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2630,"UK CASH FUND",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","The UK Cash Fund invests in UK cash and cash equivalent assets. Designed to provide a return (after tax, fees and other expenses) that reflects the after-tax return on the UK cash market. The fund is not hedged against the NZ dollar. This means that changes in the value of the NZ dollar against the UK pound will impact the fund's return.",552665.00,NZD,50,2012-03-26,"3-month UK treasury bill rate (converted to the New Zealand dollar)",6.48,4.36,5.99,0.76,-0.09,2013,2014,2015,2016,2017,2018,,,,,-6.75,6.83,3.47,5.74,-13.45,8.79,,,,,-4.64,3.65,2.25,4.69,-11.70,7.04,,,,,0.48,0.45,0.00,0.03,30.00,NZD,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100,0,0,0,0,0,0,0,0,100.5500,"ASB GBP CURRENT ACCOUNT","ASB CURRENT ACCOUNT",,,,,,,,,98.6900,1.8600,,,,,,,,,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,,,,,,,,,NZ,NZ,,,,,,,,,AA-,AA-,,,,,,,,,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2631,"TOTAL WORLD ETF FUND",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","The Total World ETF Fund invests in the Smartshares Exchange Traded Funds' Total World Fund.",2201290.00,NZD,311,2015-09-21,"FTSE Global All Cap Index (converted to the New Zealand dollar)",20.60,18.20,18.39,11.15,7.97,2017,2018,,,,,,,,,14.10,11.68,,,,,,,,,11.56,8.30,,,,,,,,,0.58,0.35,0.00,0.23,30.00,NZD,0.3300,0.0000,0.0000,0.0000,99.6700,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,99,0,0,0,0,100.1500,"VANGUARD TOTAL WORLD STOCK ETF","WESTPAC CURRENT ACCOUNT",,,,,,,,,99.8200,0.3300,,,,,,,,,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,,,,,,,,,US,NZ,,,,,,,,,,AA-,,,,,,,,,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2652,"SUPERLIFE AGE STEPS - AGE 20",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","SuperLife Age Steps automatically sets the proportion of your investment in income and growth assets based on your age. As you get older, the proportion of your investment in more volatile growth assets will be reduced, lowering the expected size of the ups and downs in the value of your investment. This option may be suitable if you are saving for retirement (assumed to be age 65), and assumes you will continue to invest your savings and spend them over your retirement period.Your SuperLife Age Steps - Age 20 investment will be allocated 4% to income assets and 96% to growth assets.",1352575.00,NZD,379,2013-09-15,"weighted average annual return of the market indices used to measure the performance of the assets that the stage invests in",13.51,10.51,9.88,11.60,9.01,2015,2016,2017,2018,,,,,,,14.97,1.56,12.93,12.06,,,,,,,12.96,5.29,11.98,4.95,,,,,,,0.61,0.37,0.00,0.24,30.00,NZD,3.3700,1.3300,1.9200,22.0300,62.7800,8.5700,0.0000,0.0000,0.0000,0.0000,1,1,3,24,64,7,0,0,0,65.6700,"VANGUARD S&P 500 ETF","VANGUARD FTSE EUROPE ETF","VANGUARD FTSE EMERGING MARKETS ETF","VANGUARD FTSE PACIFIC ETF","VANGUARD VALUE ETF","VANGUARD MID-CAP ETF","VANGUARD SMALL-CAP ETF","VANGUARD INTERNATIONAL PROPERTY SECURITIES INDEX FUND HEDGED","VANGUARD TOTAL WORLD STOCK ETF","VANGUARD INTERNATIONAL CREDIT SECURITIES INDEX FUND HEDGED",14.3400,11.9400,9.7000,8.0000,5.4700,5.4300,4.7100,3.3300,1.4800,1.2700,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,LISTED_PROPERTY,INTERNATIONAL_EQUITIES,INT_FIXED_INTEREST,US,US,US,US,US,US,US,AU,US,AU,,,,,,,,,,,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2653,"SUPERLIFE AGE STEPS - AGE 30",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","SuperLife Age Steps automatically sets the proportion of your investment in income and growth assets based on your age. As you get older, the proportion of your investment in more volatile growth assets will be reduced, lowering the expected size of the ups and downs in the value of your investment. This option may be suitable if you are saving for retirement (assumed to be age 65), and assumes you will continue to invest your savings and spend them over your retirement period.Your SuperLife Age Steps - Age 30 investment will be allocated 20% to income assets and 80% to growth assets.",3874981.00,NZD,272,2013-09-15,"weighted average annual return of the market indices used to measure the performance of the assets that the stage invests in",11.58,9.00,8.57,10.57,8.15,2015,2016,2017,2018,,,,,,,14.07,2.22,11.31,10.66,,,,,,,11.92,4.91,10.44,4.64,,,,,,,0.59,0.37,0.00,0.22,30.00,NZD,3.5300,6.5500,12.6600,18.2800,51.9600,7.0200,0.0000,0.0000,0.0000,0.0000,1,7,13,20,53,6,0,0,0,60.1000,"VANGUARD S&P 500 ETF","VANGUARD FTSE EUROPE ETF","VANGUARD FTSE EMERGING MARKETS ETF","VANGUARD FTSE PACIFIC ETF","VANGUARD INTERNATIONAL CREDIT SECURITIES INDEX FUND HEDGED","VANGUARD VALUE ETF","VANGUARD MID-CAP ETF","VANGUARD SMALL-CAP ETF","VANGUARD INTERNATIONAL PROPERTY SECURITIES INDEX FUND HEDGED","ASB CURRENT ACCOUNT",11.9500,9.9500,8.0800,6.6700,6.3300,4.5600,4.5300,3.9200,2.7700,1.3400,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INT_FIXED_INTEREST,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,LISTED_PROPERTY,CASH_AND_EQUIVALENTS,US,US,US,US,AU,US,US,US,AU,NZ,,,,,,,,,,AA-,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2654,"SUPERLIFE AGE STEPS - AGE 40",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","SuperLife Age Steps automatically sets the proportion of your investment in income and growth assets based on your age. As you get older, the proportion of your investment in more volatile growth assets will be reduced, lowering the expected size of the ups and downs in the value of your investment. This option may be suitable if you are saving for retirement (assumed to be age 65), and assumes you will continue to invest your savings and spend them over your retirement period.Your SuperLife Age Steps - Age 40 investment will be allocated 20% to income assets and 80% to growth assets.",8090366.00,NZD,335,2013-09-15,"weighted average annual return of the market indices used to measure the performance of the assets that the stage invests in",11.58,9.00,8.57,10.57,8.15,2015,2016,2017,2018,,,,,,,14.07,2.22,11.31,10.66,,,,,,,11.92,4.91,10.44,4.64,,,,,,,0.59,0.37,0.00,0.22,30.00,NZD,3.5300,6.5500,12.6600,18.2800,51.9600,7.0200,0.0000,0.0000,0.0000,0.0000,1,7,13,20,53,6,0,0,0,60.1000,"VANGUARD S&P 500 ETF","VANGUARD FTSE EUROPE ETF","VANGUARD FTSE EMERGING MARKETS ETF","VANGUARD FTSE PACIFIC ETF","VANGUARD INTERNATIONAL CREDIT SECURITIES INDEX FUND HEDGED","VANGUARD VALUE ETF","VANGUARD MID-CAP ETF","VANGUARD SMALL-CAP ETF","VANGUARD INTERNATIONAL PROPERTY SECURITIES INDEX FUND HEDGED","ASB CURRENT ACCOUNT",11.9500,9.9500,8.0800,6.6700,6.3300,4.5600,4.5300,3.9200,2.7700,1.3400,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INT_FIXED_INTEREST,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,LISTED_PROPERTY,CASH_AND_EQUIVALENTS,US,US,US,US,AU,US,US,US,AU,NZ,,,,,,,,,,AA-,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
FND2655,"SUPERLIFE AGE STEPS - AGE 50",OFR11087,10022,"SUPERLIFE KIWISAVER SCHEME",Quarterly,2018-09-30,622,SCH10768,"SUPERLIFE KIWISAVER SCHEME","SuperLife Age Steps automatically sets the proportion of your investment in income and growth assets based on your age. As you get older, the proportion of your investment in more volatile growth assets will be reduced, lowering the expected size of the ups and downs in the value of your investment. This option may be suitable if you are saving for retirement (assumed to be age 65), and assumes you will continue to invest your savings and spend them over your retirement period.Your SuperLife Age Steps - Age 50 investment will be allocated 25% to income assets and 75% to growth assets.",13354935.00,NZD,325,2013-09-15,"weighted average annual return of the market indices used to measure the performance of the assets that the stage invests in",10.98,8.53,8.16,10.24,7.88,2015,2016,2017,2018,,,,,,,13.79,2.43,10.81,10.22,,,,,,,11.59,4.79,9.95,4.54,,,,,,,0.59,0.37,0.00,0.22,30.00,NZD,3.5900,8.1100,15.9300,17.1000,48.6400,6.6300,0.0000,0.0000,0.0000,0.0000,1,9,16,19,49,6,0,0,0,58.4300,"VANGUARD S&P 500 ETF","VANGUARD FTSE EUROPE ETF","VANGUARD INTERNATIONAL CREDIT SECURITIES INDEX FUND HEDGED","VANGUARD FTSE EMERGING MARKETS ETF","VANGUARD FTSE PACIFIC ETF","VANGUARD VALUE ETF","VANGUARD MID-CAP ETF","VANGUARD SMALL-CAP ETF","VANGUARD INTERNATIONAL PROPERTY SECURITIES INDEX FUND HEDGED","ASB CURRENT ACCOUNT",11.2000,9.3300,7.9100,7.5800,6.2500,4.2700,4.2400,3.6800,2.6000,1.3700,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INT_FIXED_INTEREST,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,LISTED_PROPERTY,CASH_AND_EQUIVALENTS,US,US,AU,US,US,US,US,US,AU,NZ,,,,,,,,,,AA-,"PAUL JAMES BALDWIN","GUY ROULSTON ELLIFFE","MARK JOHN PETERSON","ALISTER JOHN WILLIAMS","LINDSAY MEGAN WRIGHT","Director","Director","Director","Director","Director",1,9,2,10,0,11,2,10,0,3,"Executive Consultant - NZX Wealth Technologies","Corporate Governance Manager - ACC","Chief Executive Officer - NZX","Investment Manager - Trust Management","Director - NZX",1,11,3,5,1,8,3,8,0,7,
